top_img_file,side_img_file,time (second),displacement (mm),load (N)
img0-08312022144721-9.tiff,img1-08312022144721-7.tiff,0,0,1.5244899
img0-08312022144722-10.tiff,img1-08312022144722-8.tiff,1,0.005853124,3.217074425
img0-08312022144723-11.tiff,img1-08312022144723-9.tiff,2,0.015224088,3.510204
img0-08312022144724-12.tiff,img1-08312022144724-10.tiff,3,0.022530061,3.897890704
img0-08312022144725-13.tiff,img1-08312022144725-11.tiff,4,0.030022857,4.3612247
img0-08312022144726-14.tiff,img1-08312022144726-12.tiff,5,0.037376531,4.7394557
img0-08312022144727-15.tiff,img1-08312022144727-13.tiff,6,0.044750075,5.202789621
img0-08312022144728-16.tiff,img1-08312022144728-14.tiff,7,0.052145486,5.685034
img0-08312022144729-17.tiff,img1-08312022144729-15.tiff,8,0.059497167,6.157823
img0-08312022144730-18.tiff,img1-08312022144729-15.tiff,9,0.066912455,6.72517
img0-08312022144731-19.tiff,img1-08312022144731-16.tiff,10,0.074264136,7.112860447
img0-08312022144732-20.tiff,img1-08312022144732-17.tiff,11,0.081597928,7.5761905
img0-08312022144733-21.tiff,img1-08312022144733-18.tiff,12,0.088991357,8.058439357
img0-08312022144734-22.tiff,img1-08312022144734-19.tiff,13,0.096327145,8.521769
img0-08312022144735-23.tiff,img1-08312022144735-20.tiff,14,0.103641065,9.089116
img0-08312022144736-24.tiff,img1-08312022144736-21.tiff,15,0.111054365,9.561905
img0-08312022144737-25.tiff,img1-08312022144737-22.tiff,16,0.11843387,10.1292515
img0-08312022144738-26.tiff,img1-08312022144738-23.tiff,17,0.125819356,10.60204
img0-08312022144739-27.tiff,img1-08312022144739-24.tiff,18,0.133173025,11.06537961
img0-08312022144740-28.tiff,img1-08312022144740-25.tiff,19,0.140506825,11.55707029
img0-08312022144741-29.tiff,img1-08312022144740-25.tiff,20,0.147882352,12.020408
img0-08312022144742-30.tiff,img1-08312022144742-26.tiff,21,0.155174405,12.57830461
img0-08312022144743-31.tiff,img1-08312022144743-27.tiff,22,0.162569812,13.060545
img0-08312022144744-32.tiff,img1-08312022144744-28.tiff,23,0.170002992,13.44822629
img0-08312022144745-33.tiff,img1-08312022144745-29.tiff,24,0.177394425,13.911565
img0-08312022144746-34.tiff,img1-08312022144746-30.tiff,25,0.184767983,14.384354
img0-08312022144747-35.tiff,img1-08312022144747-31.tiff,26,0.192121645,14.857142
img0-08312022144748-36.tiff,img1-08312022144748-32.tiff,27,0.199495185,15.24482439
img0-08312022144749-37.tiff,img1-08312022144749-33.tiff,28,0.206848865,15.6136055
img0-08312022144750-38.tiff,img1-08312022144750-34.tiff,29,0.214202525,15.991837
img0-08312022144751-39.tiff,img1-08312022144750-34.tiff,30,0.221556205,16.370068
img0-08312022144752-40.tiff,img1-08312022144752-35.tiff,31,0.228909866,16.653742
img0-08312022144753-41.tiff,img1-08312022144753-36.tiff,32,0.236223795,17.031973
img0-08312022144754-42.tiff,img1-08312022144754-37.tiff,33,0.243557593,17.315647
img0-08312022144755-43.tiff,img1-08312022144755-38.tiff,34,0.251012633,17.68442581
img0-08312022144756-44.tiff,img1-08312022144756-39.tiff,35,0.258324581,17.97755
img0-08312022144757-45.tiff,img1-08312022144757-40.tiff,36,0.265735885,18.25177291
img0-08312022144758-46.tiff,img1-08312022144758-41.tiff,37,0.273051785,18.53544671
img0-08312022144759-47.tiff,img1-08312022144759-42.tiff,38,0.280365721,18.734013
img0-08312022144800-48.tiff,img1-08312022144800-43.tiff,39,0.287781009,18.93258209
img0-08312022144801-49.tiff,img1-08312022144800-43.tiff,40,0.295073054,19.12169799
img0-08312022144802-50.tiff,img1-08312022144802-44.tiff,41,0.302466474,19.490477
img0-08312022144803-51.tiff,img1-08312022144803-45.tiff,42,0.309859903,19.774149
img0-08312022144804-52.tiff,img1-08312022144804-46.tiff,43,0.317255293,19.963266
img0-08312022144805-53.tiff,img1-08312022144805-47.tiff,44,0.324607003,20.16183409
img0-08312022144806-54.tiff,img1-08312022144806-48.tiff,45,0.331960662,20.42660181
img0-08312022144807-55.tiff,img1-08312022144807-49.tiff,46,0.339314334,20.61571951
img0-08312022144808-56.tiff,img1-08312022144808-50.tiff,47,0.346727621,20.814285
img0-08312022144809-57.tiff,img1-08312022144809-51.tiff,48,0.354101165,21.0034
img0-08312022144810-58.tiff,img1-08312022144810-52.tiff,49,0.36151645,21.192518
